actionAcceptedList0;actionAcceptedList1;actionAcceptedList2;actionAcceptedList3;[step];averageWaitingAction1;averageWaitingAction2;averageWaitingAction3;totalwaitingtime
13;123;2;12;487;7,609589041095891;10,74074074074074;15,142857142857142;11,16439564156459
123;1;12;23;487;6,457516339869281;14,75;12,285714285714286;11,164410208527855
123;13;1;12;487;5,02027027027027;9,695652173913043;18,77777777777778;11,164566740653697
123;123;3;1;485;9,447552447552448;12,548387096774194;11,5;11,165313181442215
23;123;23;123;486;9,934782608695652;11,941176470588236;11,625;11,166986359761296
1;12;23;123;485;5,955414012738854;13,55;14;11,168471337579618
13;12;1;123;486;5,026666666666666;12,91304347826087;15,571428571428571;11,170379572118703
13;123;12;13;486;5,386206896551724;12,130434782608695;16;11,172213893053472
13;123;123;13;485;5,629370629370629;11,225806451612904;16,666666666666668;11,173947915883401
123;2;1;123;495;6,090909090909091;11,434782608695652;16;11,175230566534914
123;12;23;12;495;7,381294964028777;12,147058823529411;14;11,176117929186063
123;123;123;23;487;5,905405405405405;13,125;14,5;11,176801801801801
123;2;1;13;503;6,222929936305732;9,647058823529411;17,666666666666668;11,17888514216727
13;13;23;12;486;6,402597402597403;12,470588235294118;14,666666666666666;11,179950768186062
123;123;23;1;487;5,52258064516129;10,68421052631579;17,333333333333332;11,180041501603469
12;123;123;123;489;5,833333333333333;11,565217391304348;16,142857142857142;11,180469289164941
123;123;1;12;487;5,868421052631579;11,05;16,625;11,181140350877193
12;123;13;23;487;6,69281045751634;10,105263157894736;16,75;11,182691205137026
2;123;12;123;485;7,748344370860927;8,7;17,11111111111111;11,186485160657346
3;12;123;1;487;9,186206896551724;11,777777777777779;12,625;11,1963282247765
1;23;2;13;490;10,618705035971223;12,975;10;11,197901678657075
12;13;12;123;491;6,410958904109589;12,516129032258064;14,666666666666666;11,19791820101144
123;1;23;13;485;5,76510067114094;11,038461538461538;16,8;11,201187403200827
1;23;123;12;487;5,9743589743589745;11,631578947368421;16;11,201979307242466
123;123;13;12;497;5,311688311688312;11,3;17;11,203896103896104
23;12;123;123;485;6,898648648648648;9,884615384615385;16,833333333333332;11,205532455532454
13;13;12;123;485;5,8;14,678571428571429;13,142857142857142;11,207142857142856
123;123;13;13;487;5,019354838709678;11,352941176470589;17,25;11,20743200506009
23;123;123;1;485;7,061643835616438;11,703703703703704;14,857142857142858;11,207496798821
123;1;123;23;490;5,9411764705882355;10,523809523809524;17,166666666666668;11,210550887021475
123;23;13;1;486;5,887417218543046;12,75;15;11,212472406181016
1;123;13;23;487;5,437908496732026;11;17,2;11,212636165577342
123;13;12;123;487;5,854166666666667;9,785714285714286;18;11,21329365079365
1;13;12;23;492;5,717105263157895;12,590909090909092;15,333333333333334;11,213782562466774
123;123;1;1;486;5,109677419354838;11,11111111111111;17,428571428571427;11,216453319679125
123;123;1;2;498;6,895833333333333;10,35483870967742;16,4;11,216890681003584
